Name,Value2011,Value2012,Value2013,Value2014,Value2015,Value2016,Value2017,Value2018,Value2019,Value2020
(10400) Electric energy,2015438,1913698,2429281,2669710,2461583,2192087,2265848,2252479,1894622,1918630
(11000) Pulpwood and woodpulp,4024405,3360058,3623226,3593821,3299765,3018207,3168914,3747046,3433020,2964663
(11100) Newsprint,1463910,1344162,1290437,1316435,1068452,979325,907054,875475,745096,510639
(11110) Paper and paper products,6887589,6913099,7085079,7494306,7567976,7503295,7482545,8288881,8111152,7147999
"(12000) Cotton, natural fibers",94120,85661,69871,76027,86795,92091,81711,86269,84018,89761
(12030) Hides and skins,187571,226399,286003,304973,241742,163752,99071,55717,45438,46916
(12050) Natural rubber,4772574,3382189,2558770,1954696,1498450,1307406,1767654,1538074,1523623,1196875
"(12060) Farming materials, livestock",1354268,1701374,1977251,1852327,1667881,1758691,1873552,1794581,1768688,1699958
"(12070) Tobacco, waxes, etc.",7809219,10439876,8941625,9034430,8284784,7827317,8400783,8941602,8597193,8735080
"(12100) Cotton cloth, fabrics",1357415,1259412,1228879,1185588,1171454,1042221,1045975,1085086,1001837,1043334
"(12110) Wool, silk, etc.",680654,758494,725430,797368,810400,708357,674844,703791,648110,556283
